id,course_title,price,subscribers,reviews,level,duration,subject
1070968,Ultimate Investment Banking Course,200,2147,23,All Levels,1.5,Business Finance
1113822,Complete GST Course & Certification - Grow Your CA Practice,75,2792,923,All Levels,39,Business Finance
1006314,Financial Modeling for Business Analysts and Consultants,45,2174,74,Intermediate Level,2.5,Business Finance
1210588,Beginner to Pro - Financial Analysis in Excel 2017,95,2451,11,All Levels,3,Business Finance
1011058,How To Maximize Your Profits Trading Options,200,1276,45,Intermediate Level,2,Business Finance
192870,Trading Penny Stocks: A Guide for All Levels In 2017,150,9221,138,All Levels,3,Business Finance
739964,Investing And Trading For Beginners: Mastering Price Charts,65,1540,178,Beginner Level,1,Business Finance
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",95,2917,148,All Levels,2.5,Business Finance
476268,Options Trading 3 : Advanced Stock Profit and Success Method,195,5172,34,Expert Level,2.5,Business Finance
1167710,The Only Investment Strategy You Need For Your Retirement,200,827,14,All Levels,1,Business Finance
592338,Forex Trading Secrets of the Pros With Amazon's AWS,200,4284,93,All Levels,5,Business Finance
975046,Trading Options With Money Flow,200,1380,42,All Levels,1,Business Finance
742602,Financial Management Risk and Return For Securities,30,3607,21,All Levels,1.5,Business Finance
794151,Forex Trading Course: Work Smarter Not Harder Proven Results,195,4061,52,All Levels,2,Business Finance
1196544,Python Algo Trading: Sentiment Trading with News,200,294,19,All Levels,7,Business Finance
504036,Short Selling: Learn To Sell Stocks Before The Fall,75,2276,106,Intermediate Level,1.5,Business Finance
719698,Basic Technical Analysis: Learn the structure of the market,20,4919,79,Beginner Level,1.5,Business Finance
564966,The Complete Chart Pattern Trading Course: A Proven Approach,200,2666,115,All Levels,4,Business Finance
606928,7 Deadly Mistakes of Investing that Will Slash Your Profits!,50,5354,24,All Levels,1.5,Business Finance
58977,Financial Statements Made Easy,95,8095,249,Beginner Level,0.583333333,Business Finance
1242604,Winning Forex Trading with Live Forex Trading Examples,200,809,3,All Levels,2,Business Finance
798740,Forex Traders - Create Your First Trading Robot. No Coding!,200,2295,84,All Levels,4,Business Finance
506568,Create A Business From Home Trading Stocks Today In 2017,75,10149,83,All Levels,2,Business Finance
1020760,Introduction to Accounting : Mastering Financial Statements,50,1916,38,Beginner Level,1,Business Finance
859742,The Complete Ethereum Course: Get .01 Ether In Your Wallet,45,2507,333,All Levels,2,Business Finance
383414,Beginner to Pro in PowerPoint: Complete PowerPoint Training,150,5786,518,All Levels,5,Business Finance
353044,Investing 101: The Complete Online Investing Course,200,5334,373,All Levels,4.5,Business Finance
447362,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,175,4005,237,Intermediate Level,2,Business Finance
831066,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),150,2877,103,All Levels,4.5,Business Finance
1266306,Forex Trading: Your Complete Guide to Get Started Like a Pro,140,1026,25,Beginner Level,3,Business Finance
1170894,Python Algo Stock Trading: Automate Your Trading!,95,1165,21,Beginner Level,2.5,Business Finance
948974,THE Forex Robot: Incredible ROI (Robot Included),200,1843,171,All Levels,1.5,Business Finance
380970,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,45,8797,449,All Levels,6.5,Business Finance
1217778,Mastering High Probability Iron Condor Options Trading,200,1030,11,All Levels,2,Business Finance
1246208,The Complete Short Course on Ethereum,200,1041,12,All Levels,1.5,Business Finance
434774,Options Trading Stocks: Proven Toolbox For Financial Success,195,7884,118,Intermediate Level,10,Business Finance
308690,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,195,16900,2476,Beginner Level,5.5,Business Finance
888716,"Introduction to Finance, Accounting, Modeling and Valuation",200,11441,1118,All Levels,4.5,Business Finance
321410,Beginner to Pro in Excel: Financial Modeling and Valuation,195,22257,2697,All Levels,7.5,Business Finance
965832,The Complete Investment Banking Course 2017,195,8575,809,All Levels,5.5,Business Finance
648826,The Complete Financial Analyst Course 2017,195,24481,2347,All Levels,10,Business Finance
1035472,Python for Finance: Investment Fundamentals & Data Analytics,195,3811,278,All Levels,6.5,Business Finance
1154754,Financial Modeling for Startups & Small Businesses,195,4991,137,Beginner Level,11.5,Business Finance
627540,Options Trading - How to Win with Weekly Options,115,7489,1190,Intermediate Level,1,Business Finance
301442,Black Algo Trading: Build Your Trading Robot,200,20195,1113,All Levels,16,Business Finance
640100,Accounting & Financial Statement Analysis: Complete Training,150,10042,594,All Levels,3,Business Finance
1247394,Cryptocurrency Trading: Complete Guide To Trading Altcoins,95,367,42,All Levels,5,Business Finance
260470,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,200,10603,872,All Levels,5.5,Business Finance
1214702,Three Steps Trading - Live Trading - Real Account,190,1197,11,All Levels,5,Business Finance
848664,Option Trading for Rookies:  Understand Options Completely,150,2893,65,All Levels,2,Business Finance
